Track,Date,RaceNum,DogName,Box,Trainer,Grade,Dist,Actual_Place,Weight,Actual_SP,Margin,EarlySpeed,Split_Time,Actual_Time,Sire,Dam,Sex,Birthday,Sec_Per_Meter
Ballarat,30 Dec 24,2,DEAL BREAKER,6,K Howat,Tier 3 - Maiden,390,7,32.3,61.60,9.66,S,9.00,23.24,Kiowa Mon Manny,I'm Robyn Banks,D,11 Jan 2022,0.0595897436
Ballarat,30 Dec 24,2,WIZIN WOODHOUSE,7,D Gibbons,Tier 3 - Maiden,390,3,33.6,4.50,2.87,S,8.76,22.76,Shima Shine,Bandit Belle,D,14 Feb 2023,0.0583589744
Ballarat,30 Dec 24,2,MAURITIAN LUCAS,8,M Quick,Tier 3 - Maiden,390,2,31.3,5.90,2.64,M,8.62,22.75,Mepunga Blazer,Made To Shine,D,24 Feb 2023,0.0583333333
Ballarat,30 Dec 24,3,LEKTRA FRED,1,S Wetzels,Grade 5 T3,390,1,30.7,4.50,0,Q,8.41,22.30,Houdini Boy,Lektra Jena,D,19 Apr 2022,0.0571794872
Ballarat,30 Dec 24,3,CRACKERJACK BERN,2,C Davis,Grade 5 T3,390,2,32.2,5.70,1.69,Q,8.53,22.42,Bernardo,Maximum Oaks,D,16 Nov 2020,0.0574871795
Ballarat,30 Dec 24,3,PALTROW BALE,3,L Harris,Grade 5 T3,390,4,28.0,17.20,5.63,Q,8.55,22.69,Need My Moneynow,Dyna Gertie,B,17 Oct 2021,0.0581794872
Ballarat,30 Dec 24,3,PEACHES,4,D Klemke,Grade 5 T3,390,3,30.3,3.20,3.83,Q,8.46,22.57,Mepunga Blazer,Helen's Mate,B,05 Jan 2022,0.0578717949
Ballarat,30 Dec 24,3,JUST WANT PIZZA,6,J Sharp,Grade 5 T3,390,5,28.1,4.50,6.31,M,8.76,22.74,Superior Panama,Junk Food Junkie,B,02 Apr 2022,0.0583076923
Ballarat,30 Dec 24,3,HARTLAND PRINCE,7,J Formosa,Grade 5 T3,390,8,31.6,16.80,12.16,M,8.80,23.15,Aston Duke,Trey Smidge,D,22 Mar 2022,0.0593589744
Ballarat,30 Dec 24,3,WILD REPUTATION,8,D Knight,Grade 5 T3,390,6,31.8,14.00,6.41,M,8.66,22.75,Orson Allen,Broken Talent,D,03 Nov 2020,0.0583333333
Ballarat,30 Dec 24,4,XISAN BALE,1,T Kennedy-Harris,Grade 5 T3,390,1,31.4,2.00,0,M,8.65,22.49,Droopys Sydney,Winnie Allen,D,27 Feb 2022,0.0576666667
Ballarat,30 Dec 24,4,BRILEY RIOT,2,C Bermingham,Grade 5 T3,390,4,26.1,6.80,4.26,Q,8.51,22.78,Pat C Sabbath,La Bella Riot,B,08 Apr 2022,0.0584102564
Ballarat,30 Dec 24,4,IRON TYSON,3,R Brown,Grade 5 T3,390,3,34.1,17.70,3.20,M,8.75,22.71,Zipping Garth,Dreamy Eyes,D,03 May 2022,0.0582307692
Ballarat,30 Dec 24,4,AYIA THE SLAYER,4,J Gorgioski,Grade 5 T3,390,5,32.0,21.50,6.10,Q,8.47,22.91,Hard Style Rico,Ayia Sophia,B,05 Dec 2021,0.0587435897
Ballarat,30 Dec 24,4,RAPIDFIRE FOREST,5,C Allen,Grade 5 T3,390,7,36.2,12.70,8.09,M,8.86,23.05,Barcia Bale,Wynburn Lucifer,D,18 Jan 2021,0.0591025641
Ballarat,30 Dec 24,4,WESTERN'S BEAR,6,L Mitchell,Grade 5 T3,390,6,33.4,4.10,7.21,M,8.61,22.99,Bernardo,Star Desire,D,04 Jan 2021,0.0589487179
Ballarat,30 Dec 24,4,CRACKERJACK MAXY,7,J Formosa,Grade 5 T3,390,8,31.7,53.20,13.27,M,9.03,23.41,Fernando Bale,Maximum Kack,D,17 Feb 2021,0.0600256410
Ballarat,30 Dec 24,4,THAT'S A BOODIE,8,P Furci,Grade 5 T3,390,2,31.1,11.20,2.31,M,8.89,22.65,Bernardo,Bush Blossom,D,11 Feb 2022,0.0580769231
Ballarat,30 Dec 24,5,BLACK EMU,3,N Pace,Tier 3 - Grade 6,450,7,36.6,2.60,7.94,M,6.96,26.26,Aston Rupee,Boom Foot,D,16 Oct 2022,0.0583555556
Ballarat,30 Dec 24,5,WINTER BALE,4,B Middling,Tier 3 - Grade 6,450,6,28.2,15.00,7.37,M,6.94,26.22,Allen Deed,Wanna Allen,B,15 May 2022,0.0582666667
Ballarat,30 Dec 24,5,MAXIMUM REED,5,J Cooper,Tier 3 - Grade 6,450,4,30.3,7.00,5.41,M,6.92,26.08,Superior Panama,Maximum Kack,B,30 Nov 2022,0.0579555556
Ballarat,30 Dec 24,5,PAW IGNITE,6,C Grenfell,Tier 3 - Grade 6,450,3,34.4,5.30,4.90,M,6.92,26.05,Yozo Bale,Knicks Bale,D,27 Jan 2023,0.0578888889
Ballarat,30 Dec 24,5,MAKE US DREAM,7,G McRae,Tier 3 - Grade 6,450,8,24.1,40.50,10.69,Q,6.76,26.45,My Redeemer,Liverpool Flyer,B,14 Apr 2022,0.0587777778
Ballarat,30 Dec 24,5,WINE LOVER,8,D Klemke,Tier 3 - Grade 6,450,5,32.9,10.50,5.71,S,6.94,26.11,Catch The Thief,Somerton May,D,02 Oct 2022,0.0580222222
Ballarat,30 Dec 24,6,OUR ALAMO,1,M Katsiris,Grade 5 T3,450,1,35.7,3.40,0,Q,6.61,25.46,Aston Rupee,Queen Of Ziems,D,24 Nov 2022,0.0565777778
Ballarat,30 Dec 24,6,VELOX BALE,2,T Kennedy-Harris,Grade 5 T3,450,8,28.6,28.10,13.37,Q,6.70,26.40,Droopys Sydney,Winnie Allen,B,27 Feb 2022,0.0586666667
Ballarat,30 Dec 24,6,PENGUIN PAT,3,A Mooney,Grade 5 T3,450,2,31.2,8.90,7.07,M,6.72,25.95,Ritza Lenny,It's A Shame,D,25 Oct 2021,0.0576666667
Ballarat,30 Dec 24,6,ASTON SHEERAN,4,M Johnson,Grade 5 T3,450,3,34.9,5.90,8.70,M,6.66,26.07,Zipping Garth,Aston Tara,D,20 Dec 2021,0.0579333333
Ballarat,30 Dec 24,6,SUMMER SPRITZ,5,E Palma,Grade 5 T3,450,6,26.8,8.90,10.37,M,6.75,26.19,Fernando Bale,Silken,B,17 Jul 2022,0.0582000000
Ballarat,30 Dec 24,6,URANO BALE,6,A Mooney,Grade 5 T3,450,5,35.3,18.20,9.53,M,6.81,26.13,Christo Bale,Dyna Romy,D,07 Apr 2022,0.0580666667
Ballarat,30 Dec 24,6,DIABLO SIXTEEN,7,J Sharp,Grade 5 T3,450,7,29.7,7.80,10.53,M,6.80,26.20,High Earner,Devel Sixteen,D,13 Feb 2023,0.0582222222
Ballarat,30 Dec 24,6,HIGHWAY HOOLIGAN,8,C Hayes,Grade 5 T3,450,4,33.0,3.60,9.11,M,6.75,26.10,Hard Style Rico,Zipping Cia,D,21 Feb 2023,0.0580000000
Ballarat,30 Dec 24,7,TORNADO JACK,1,T Boehmke,Grade 5 T3,450,7,31.1,16.60,7.81,M,6.70,26.24,Buckle Up Wes,Lancome Lady,D,08 Dec 2021,0.0583111111
Ballarat,30 Dec 24,7,REMEMBER WHAT,2,M Giddings,Grade 5 T3,450,6,27.0,12.70,6.67,M,6.83,26.16,Tommy Shelby,What Joy,B,16 Oct 2021,0.0581333333
Ballarat,30 Dec 24,7,PRETTY PANAMA,3,A Meyer,Grade 5 T3,450,2,28.3,2.60,4.39,M,6.70,26.00,Superior Panama,Gemilly,B,14 Dec 2021,0.0577777778
Ballarat,30 Dec 24,7,LYRICAL CRIPPS,4,K Howat,Grade 5 T3,450,5,31.4,40.80,5.84,M,6.81,26.10,Get It Gizmo,Zipping Lyric,D,17 Jun 2021,0.0580000000
Ballarat,30 Dec 24,7,HARD ROTOR,5,M Zammit,Grade 5 T3,450,4,29.6,66.10,4.56,Q,6.68,26.01,Hard Style Rico,Rotarua,B,28 Mar 2022,0.0578000000
Ballarat,30 Dec 24,7,RAPIDFIRE SERENA,6,C Allen,Grade 5 T3,450,3,33.6,4.60,4.53,S,6.93,26.01,Barcia Bale,Wynburn Lucifer,B,18 Jan 2021,0.0578000000
Ballarat,30 Dec 24,7,JOSIE'S JEWEL,7,M Katsiris,Grade 5 T3,450,1,26.8,3.40,0,M,6.68,25.69,Superior Panama,Medio Paso,B,12 Mar 2022,0.0570888889
Ballarat,30 Dec 24,7,SIR BINGO,8,T Blacker,Grade 5 T3,450,8,31.9,8.50,11.10,M,6.70,26.47,Orson Allen,Invictus Glory,D,24 May 2021,0.0588222222
Ballarat,30 Dec 24,8,PALDRON BALE,1,S Grenfell,Grade 5 T3,545,6,32.1,2.50,5.44,M,6.93,31.53,Fernando Bale,Houston Bale,D,23 Mar 2022,0.0578532110
Ballarat,30 Dec 24,8,BELLE EXTRA,2,P Griffen,Grade 5 T3,545,4,32.8,3.20,4.77,M,7.00,31.48,Aussie Infrared,Rockstar Belle,D,04 Mar 2022,0.0577614679
Ballarat,30 Dec 24,8,WHITE SHIRAZ,3,J Formosa,Grade 5 T3,545,8,28.8,31.60,6.84,Q,6.93,31.62,Fernando Bale,Pepper Shiraz,B,15 May 2021,0.0580183486
Ballarat,30 Dec 24,8,TOM'S BOURBSKI,4,D Knight,Grade 5 T3,545,2,32.7,12.10,3.00,M,6.89,31.36,Barcia Bale,Sunset Bourbski,D,17 Jan 2022,0.0575412844
Ballarat,30 Dec 24,8,HOLD ME CLOSER,5,J Cooper,Grade 5 T3,545,3,27.7,4.90,3.94,S,7.10,31.42,Shima Shine,Saldana,B,12 May 2021,0.0576513761
Ballarat,30 Dec 24,8,OFFENSIVE LADY,6,M Katsiris,Grade 5 T3,545,7,25.1,15.80,6.26,S,6.96,31.58,Fernando Bale,Palace Lady,B,23 Jun 2022,0.0579449541
Ballarat,30 Dec 24,8,UPON BALE,7,T Kennedy-Harris,Grade 5 T3,545,5,27.2,55.30,5.17,Q,6.68,31.51,Konomi,Wendalin Bale,B,06 Mar 2022,0.0578165138
Ballarat,30 Dec 24,8,SCALA BLACK,8,L Scala,Grade 5 T3,545,1,38.4,15.00,0,Q,6.79,31.15,Beast Unleashed,Zipping Kelly,D,20 Jun 2021,0.0571559633
Ballarat,30 Dec 24,9,REIKO VENUS,1,A Fry,Tier 3 - Grade 7,450,3,29.0,7.60,4.77,M,6.75,26.11,Orson Allen,Star Reiko,B,03 Mar 2022,0.0580222222
Ballarat,30 Dec 24,9,PAW VANCOUVER,2,D Gibbons,Tier 3 - Grade 7,450,2,28.4,2.80,4.71,M,6.82,26.10,Christo Bale,Winnie Allen,B,17 Feb 2023,0.0580000000
Ballarat,30 Dec 24,9,DINOSAUR,3,C Dew,Tier 3 - Grade 7,450,5,31.0,30.50,6.83,M,7.00,26.25,Sh Avatar,Fairytale Wish,D,02 Jul 2022,0.0583333333
Ballarat,30 Dec 24,9,MAJESTIC GEORGE,4,C Hose,Tier 3 - Grade 7,450,7,28.5,73.50,9.41,Q,6.86,26.43,Borat,Dyna Fame,D,12 Apr 2021,0.0587333333
Ballarat,30 Dec 24,9,PICHOLA RALPHY,5,M Marshall,Tier 3 - Grade 7,450,1,30.3,1.90,0,M,6.71,25.77,Feral Franky,Unleash The Fun,D,24 Feb 2023,0.0572666667
Ballarat,30 Dec 24,9,TIMMY TIME,6,C Hose,Tier 3 - Grade 7,450,8,31.6,61.20,11.61,S,6.86,26.59,Fernando Bale,Zoom Out,D,27 Jan 2022,0.0590888889
Ballarat,30 Dec 24,9,BIG BOSS GIBLET,7,D Gibbons,Tier 3 - Grade 7,450,6,33.7,26.40,7.54,S,7.03,26.30,Feral Franky,Gloria Bale,D,06 Mar 2023,0.0584444444
Ballarat,30 Dec 24,9,CROWN ARYA,8,T Kennedy-Harris,Tier 3 - Grade 7,450,4,28.8,16.60,5.53,Q,6.85,26.16,Tiggerlong Tonk,Queenie Jean,B,24 Sep 2022,0.0581333333
Ballarat,30 Dec 24,10,HARLEY RIOT,1,C Bermingham,Tier 3 - Grade 7,390,1,25.0,3.50,0,M,8.52,22.35,Fernando Bale,Mystic Riot,B,07 Jul 2021,0.0573076923
Ballarat,30 Dec 24,10,SPECIAL PLAYS,2,N Salna,Tier 3 - Grade 7,390,5,26.8,2.90,7.16,S,8.68,22.85,Tommy Shelby,She Can Excite,B,03 Jan 2023,0.0585897436
Ballarat,30 Dec 24,10,PYRENEES PRINCE,3,H Robinson,Tier 3 - Grade 7,390,3,31.5,15.40,5.71,Q,8.70,22.75,Whiskey Riot,Alcyone,D,04 Dec 2021,0.0583333333
Ballarat,30 Dec 24,10,ZERO PREDATOR,4,D Knight,Tier 3 - Grade 7,390,7,26.5,33.20,10.19,M,8.71,23.06,Fernando Bale,Fabriola Zero,B,17 Oct 2022,0.0591282051
Ballarat,30 Dec 24,10,CHRISTA'S GIRL,5,D Klemke,Tier 3 - Grade 7,390,2,26.8,7.40,3.50,Q,8.63,22.59,Playlist,Valley Reaper,B,13 Oct 2022,0.0579230769
Ballarat,30 Dec 24,10,EAT LESS JUNK,6,J Sharp,Tier 3 - Grade 7,390,4,26.9,3.50,6.47,M,8.78,22.80,Feral Franky,Junk Food Junkie,B,13 Nov 2022,0.0584615385
Ballarat,30 Dec 24,10,ZENVO YOYO,7,D Knight,Tier 3 - Grade 7,390,6,28.7,31.00,7.57,M,8.75,22.88,Ballymac Kingdom,Zippy Zenvo,B,27 Nov 2022,0.0586666667
Ballarat,30 Dec 24,10,MAJESTIC MAX,8,T Monaghan,Tier 3 - Grade 7,390,8,28.1,104.70,12.70,S,8.89,23.24,My Redeemer,Darley Park,D,17 Nov 2021,0.0595897436
Ballarat,30 Dec 24,11,STORMY SECRET,1,B Sykes,Tier 3 - Grade 6,390,5,31.5,3.60,4.96,S,8.66,22.68,Aussie Secret,Dyna Sarah,D,03 Sep 2022,0.0581538462
Ballarat,30 Dec 24,11,CONNOR'S FLYER,2,B McRae,Tier 3 - Grade 6,390,3,27.8,2.50,3.54,S,8.57,22.58,My Redeemer,Liverpool Flyer,B,14 Apr 2022,0.0578974359
Ballarat,30 Dec 24,11,PAW WAITARA,3,T Kennedy-Harris,Tier 3 - Grade 6,390,1,26.3,4.20,0,Q,8.43,22.33,Christo Bale,Winnie Allen,B,17 Feb 2023,0.0572564103
Ballarat,30 Dec 24,11,JERSEY JET,4,M Giddings,Tier 3 - Grade 6,390,2,25.6,18.80,1.24,Q,8.47,22.42,Flying Ricciardo,Select Some,B,06 Aug 2022,0.0574871795
Ballarat,30 Dec 24,11,NAILED IT,5,C Dew,Tier 3 - Grade 6,390,7,25.8,18.50,6.31,M,8.82,22.78,Sh Avatar,Fairytale Wish,B,02 Jul 2022,0.0584102564
Ballarat,30 Dec 24,11,PAW JOLYN,6,S Grenfell,Tier 3 - Grade 6,390,4,28.6,6.70,3.99,M,8.55,22.61,Christo Bale,Dyna Uni,B,06 Jan 2023,0.0579743590
Ballarat,30 Dec 24,11,TONKA BALE,7,D Pace,Tier 3 - Grade 6,390,6,32.1,62.00,5.04,M,8.78,22.69,Allen Deed,Quip Allen,D,24 Jul 2022,0.0581794872
Ballarat,30 Dec 24,12,RUNWAY,2,P Cusack,Grade 5 T3,390,8,26.5,21.90,5.99,M,8.81,23.00,Walk Hard,Mrs. Sharp,B,01 Mar 2022,0.0589743590
Ballarat,30 Dec 24,12,NITRO BALE,3,S Mannion,Grade 5 T3,390,1,31.2,7.50,0,M,8.67,22.58,Fernando Bale,Dyna Harpa,D,29 Feb 2020,0.0578974359
Ballarat,30 Dec 24,12,SPIRIT OF PANAMA,4,C Knott,Grade 5 T3,390,6,30.8,12.70,3.56,S,8.74,22.83,Superior Panama,Chun Li,D,18 Jul 2021,0.0585384615
Ballarat,30 Dec 24,12,MARINO,5,B Middling,Grade 5 T3,390,3,31.6,3.60,1.64,M,8.49,22.70,Tommy Shelby,My Lucky Mia,D,21 Dec 2021,0.0582051282
Ballarat,30 Dec 24,12,AVISWOOD,6,P Pace,Grade 5 T3,390,4,33.4,8.30,2.06,S,8.71,22.73,Dyna Double One,Right Exit,D,23 Feb 2022,0.0582820513
Ballarat,30 Dec 24,12,TROJAN PACKAGE,7,T Samantzis,Grade 5 T3,390,7,27.6,29.30,4.73,M,8.67,22.91,Aston Dee Bee,Chevy Queen,B,21 Sep 2019,0.0587435897
Ballarat,30 Dec 24,12,JUICE,8,J Formosa,Grade 5 T3,390,5,31.0,7.30,2.30,M,8.51,22.74,My Redeemer,Shima Blaze,B,05 Nov 2020,0.0583076923
Horsham,31 Dec 24,1,BLACK REALITY,1,W Robertson,Maiden,485,1,28.1,14.40,0,Q,6.63,28.08,Aston Rupee,What A Surprise,B,03 Jul 2022,0.0578969072
Horsham,31 Dec 24,1,HI GOOD THANKS,2,M Callanan,Maiden,485,3,26.5,11.60,3.73,Q,6.77,28.34,Aston Rupee,Distinct,B,20 Sep 2022,0.0584329897
Horsham,31 Dec 24,1,AUNTIE AMBER,4,R Clark,Maiden,485,2,29.9,7.70,0.57,S,7.02,28.12,Bernardo,Husky Flyer,B,16 Nov 2022,0.0579793814
Horsham,31 Dec 24,1,MOONLIGHT MILLER,5,M Lanigan,Maiden,485,5,30.3,2.90,4.63,S,6.89,28.41,Cosmic Rumble,My Girl Kizzy,D,06 Jun 2023,0.0585773196
Horsham,31 Dec 24,1,ULTIMATE BLEND,7,M Lanigan,Maiden,485,4,24.7,1.80,4.14,Q,6.79,28.37,Aussie Infrared,Frank's Girl,B,21 Apr 2023,0.0584948454
Horsham,31 Dec 24,2,MAJOR MISTAKE,1,B Hodgson,Restricted Win,410,5,25.5,6.00,10.27,M,10.96,24.07,Orson Allen,Major Spoils,B,08 Dec 2022,0.0587073171
Horsham,31 Dec 24,2,SOLAR EBONY,2,V Millington,Restricted Win,410,4,25.8,4.70,6.86,M,10.84,23.83,Feral Franky,Solar Life,B,17 Dec 2022,0.0581219512
Horsham,31 Dec 24,2,PAW NEBRASKA,3,R Camilleri,Restricted Win,410,2,26.2,2.50,1.93,M,10.43,23.49,Jackslittlething,Idria Bale,B,03 Feb 2023,0.0572926829
Horsham,31 Dec 24,2,KIWI CRUISE,5,D Petersen,Restricted Win,410,6,32.2,54.90,19.40,M,11.01,24.71,Kuro Kismet,Riviera Cruz,B,11 May 2023,0.0602682927
Horsham,31 Dec 24,2,CANYA JUMP,6,M Lanigan,Restricted Win,410,1,25.7,2.80,0,Q,10.31,23.35,Fernando Bale,Cayenne Model,B,03 Mar 2023,0.0569512195
Horsham,31 Dec 24,2,TOTAL GARTH,7,D Petersen,Restricted Win,410,3,34.3,33.30,6.17,M,10.68,23.78,Zipping Garth,Leyenda,D,17 Aug 2022,0.0580000000
Horsham,31 Dec 24,3,REV MICHAEL,1,D Petersen,Grade 5,410,4,37.2,11.20,8.56,M,10.78,23.97,Shima Shine,Jd Revelation,D,08 Mar 2022,0.0584634146
Horsham,31 Dec 24,3,MORAINE BELLA,2,B Robertson-Leech,Grade 5,410,3,29.3,4.30,5.64,M,10.59,23.77,Fully Loaded,Moraine Rosie,B,03 Jul 2021,0.0579756098
Horsham,31 Dec 24,3,HENRY BALE,4,A Gurry,Grade 5,410,5,35.3,4.00,10.16,M,10.68,24.08,Feral Franky,Zelzer Allen,D,11 Dec 2021,0.0587317073
Horsham,31 Dec 24,3,ZIPPING SCOOBY,5,R Camilleri,Grade 5,410,2,34.3,5.40,3.46,S,10.56,23.61,Aston Rupee,Zipping Magda,D,23 Dec 2022,0.0575853659
Horsham,31 Dec 24,3,BIG BUCKETS,7,N Salna,Grade 5,410,1,31.5,2.60,0,M,10.45,23.37,Need My Moneynow,Kasreyn,D,11 Nov 2021,0.0570000000
Horsham,31 Dec 24,4,PAW YONDER,1,R Camilleri,Mixed 4/5,410,1,34.6,2.00,0,M,10.21,23.46,Dyna Tron,Hadeel Bale,D,11 Jul 2022,0.0572195122
Horsham,31 Dec 24,4,UDANI BALE,2,A Gurry,Mixed 4/5,410,2,35.6,2.60,0.54,M,10.42,23.50,Feral Franky,Dyna Carmen,D,17 Apr 2021,0.0573170732
Horsham,31 Dec 24,4,PAW JULIA,4,R Camilleri,Mixed 4/5,410,5,27.3,10.90,2.69,M,10.53,23.65,Js Flamin Ace,Dyna Adria,B,01 Jul 2022,0.0576829268
Horsham,31 Dec 24,4,SWANKY CHIC,5,B Hodgson,Mixed 4/5,410,6,26.3,23.90,7.31,M,10.58,23.97,Tommy Shelby,Floral Lace,B,18 Jan 2022,0.0584634146
Horsham,31 Dec 24,4,WELLERMAN,7,P Dunlevey,Mixed 4/5,410,4,36.2,8.60,2.56,M,10.44,23.64,Feral Franky,Call Me Bubbles,D,06 Oct 2022,0.0576585366
Horsham,31 Dec 24,4,FULL OF REGRETS,8,D Klemke,Mixed 4/5,410,3,31.2,16.30,1.01,S,10.72,23.53,My Bro Fabio,Ella Enchanted,B,01 Mar 2022,0.0573902439
Horsham,31 Dec 24,5,RIVIA AKIRA,1,A Hemingway,Mixed 6/7,410,5,29.9,12.10,6.70,M,10.71,23.76,Allen Deed,Rivia Bale,B,25 Jul 2022,0.0579512195
Horsham,31 Dec 24,5,SOLAR JESSIE,2,V Millington,Mixed 6/7,410,8,24.6,14.40,12.89,Q,10.67,24.19,Feral Franky,Solar Life,B,17 Dec 2022,0.0590000000
Horsham,31 Dec 24,5,LADY HALIME,3,J Condo,Mixed 6/7,410,7,26.7,14.50,8.86,S,10.68,23.91,Beast Unleashed,Minnie Banjo,B,15 Mar 2023,0.0583170732
Horsham,31 Dec 24,5,WITCH OF NOVA,4,R Camilleri,Mixed 6/7,410,2,26.2,14.40,5.07,M,10.51,23.65,Fernando Bale,Nova Willow,B,22 Mar 2023,0.0576829268
Horsham,31 Dec 24,5,MAJOR ALLEN,5,B Hodgson,Mixed 6/7,410,4,31.5,12.20,5.70,M,10.53,23.69,Orson Allen,Major Spoils,D,08 Dec 2022,0.0577804878
Horsham,31 Dec 24,5,ZIPPING TAMIKA,6,R Camilleri,Mixed 6/7,410,6,29.0,5.10,7.31,S,10.67,23.80,Aston Rupee,Zipping Magda,B,23 Dec 2022,0.0580487805
Horsham,31 Dec 24,5,LEONESSA,7,N Johnston,Mixed 6/7,410,1,27.9,1.80,0,Q,10.30,23.29,Razor's Edge,It's A Diva,B,01 Oct 2022,0.0568048780
Horsham,31 Dec 24,5,FAR OUT SCOUT,8,M Callanan,Mixed 6/7,410,3,25.5,14.80,5.40,M,10.44,23.67,Fernando Bale,Yindi Girl Turbo,B,07 Feb 2022,0.0577317073
Horsham,31 Dec 24,6,REIKO WALTER,2,A Fry,Mixed 6/7,485,2,33.2,5.10,0.57,Q,6.61,27.55,Orson Allen,Star Reiko,D,03 Mar 2022,0.0568041237
Horsham,31 Dec 24,6,ESPRESSO BABE,4,D Keanelly,Mixed 6/7,485,4,25.9,10.20,3.61,Q,6.79,27.76,My Redeemer,Miss Caitlyn,B,20 Oct 2021,0.0572371134
Horsham,31 Dec 24,6,SLOW POKE,6,M Lanigan,Mixed 6/7,485,3,26.6,3.60,1.14,M,6.77,27.59,Sh Avatar,Nessa's Yasmin,B,08 Mar 2023,0.0568865979
Horsham,31 Dec 24,6,PAW FARINA,7,R Camilleri,Mixed 6/7,485,1,36.1,1.70,0,M,6.79,27.51,Christo Bale,Wanna Allen,D,16 Feb 2023,0.0567216495
Horsham,31 Dec 24,6,BUILT FOR GLORY,8,G Hunt,Mixed 6/7,485,5,33.1,27.50,8.19,M,6.87,28.08,Bernardo,Fernando's Glory,D,26 Oct 2022,0.0578969072
Horsham,31 Dec 24,7,PIXIE TRIXIE,1,C Capuano,Mixed 4/5,485,4,26.2,16.40,1.93,M,6.57,27.69,Sh Avatar,Fairytale Wish,B,02 Jul 2022,0.0570927835
Horsham,31 Dec 24,7,CANYA VIVI,2,M Lanigan,Mixed 4/5,485,3,26.6,14.50,1.90,M,6.62,27.69,Shima Shine,Joyful,B,10 Oct 2022,0.0570927835
Horsham,31 Dec 24,7,FLED THE SCENE,4,G Glass,Mixed 4/5,485,1,34.4,1.70,0,S,6.69,27.56,Fernando Bale,Elusive Jewel,D,04 Dec 2021,0.0568247423
Horsham,31 Dec 24,7,CANYA AMY,5,M Lanigan,Mixed 4/5,485,5,25.9,2.70,3.09,M,6.69,27.77,Sennachie,Bombshell Bandit,B,03 Feb 2022,0.0572577320
Horsham,31 Dec 24,7,LYRICAL LASSY,7,D Klemke,Mixed 4/5,485,2,29.5,9.60,0.27,M,6.56,27.58,Get It Gizmo,Zipping Lyric,B,17 Jun 2021,0.0568659794
Horsham,31 Dec 24,8,ORIENTAL OPHELIA,1,R Clark,Mixed 3/4,410,6,27.1,8.50,6.37,Q,10.49,23.83,Orson Allen,Oriental Jade,B,11 Apr 2022,0.0581219512
Horsham,31 Dec 24,8,MAJOR MIKE,2,W Hartigan,Mixed 3/4,410,3,33.3,12.90,3.39,M,10.45,23.62,Tommy Shelby,My Lucky Mia,D,21 Dec 2021,0.0576097561
Horsham,31 Dec 24,8,SUGAR BOWL ROSE,3,A Hemingway,Mixed 3/4,410,5,28.9,24.30,4.79,M,10.63,23.72,Feral Franky,Little Tubbsy,B,22 Nov 2021,0.0578536585
